0,9/6/21 1:25AM,"Bought an ASUS netbook last September 12, 2021, in less than a year the netbook will not turn on when on battery mode even if its 100 percent fully charge, when you remove the charger it will turn off even if its 100 percent fully charge, it will only turn on when its plugged in. Already sent it to the service center and still they are looking into the problem. I emailed ASUS and requested for a replacement and hopefully they will respond to my request. Its my first time to use ASUS and with only less than a year felt bad to encounter such issues which i have not experienced with the other brands. It's disappointing.",neg
1,8/9/21 2:54PM,"Asus is a terrible and horrible company.
Your information is NOT secure as they have people working from home.
The last representative hung on me.

Tammy and Zack are the CEO office, but their phone numbers change without notice.
I fully regret ever doing any business with Asus.
They don't follow-up.
I'm still waiting for my buy back money
Which on one follow up.
Calling them is a dead end.",neg
2,7/1/21 1:34PM,It is my recommendation not to buy ASUS products as when the warranty expires the FEES start mainly because tech. support don't know what there doing laundry have a survallance system which needed the controls loaded because Microsoft eliminated internet explore which it worked originally so the new browsers needed to have the controls loaded which ASUS wanted to charge to laod the controls they are operating on a big money situation.,neg
3,6/17/21 9:14PM,"Hello,
I bought my asus rog strix laptop 2months ago with 1year insurance and 3year of warranty but i forget to watch the manufacturing defect like fanissue,become hot too fast,battery issue,all usb point are defected,ether net point is also defected, and even now motherboard and ram issue also came now laptop was not working even not on also so i want my refund or replacement of new laptop otherwise i will file a complain against asus.

Thankyou",neg
4,5/17/21 6:06AM,"I purchased a monitor that was 144HZ. Never able to get to 144HZ even after following ASUS suggestions. Been working on this problem for months. Finally told to send monitor in for service . I followed directions and even took pictures packaged unit with packing peanuts and sent it off. Received email that they received my unit and sent pictures showing unbelievable damage. I sent my one pic although I have 2 more, but was not able to send all three. Now they want to charge me the the full cast of what I paid for it or they'll send the damaged unit to me. The company stinks and so does the warrantee. No more ASUS products for us and definitely not through Walmart",neg
5,12/10/20 4:13PM,"Whether you throw your money in a garbage can or buy an asus product the outcome will be the same. I would strongly urge anyone to stay far away from this company. I bought a brand new asus laptop in June 2020, in August 2020 the motherboard went out while I was out of town for work. I had to buy a cheap computer just so I could finish my job. Sent the laptop in for repair in September. Didn't hear a word for a month until I complained and then they said they had to send it to another repair facility. No updates whatsoever throughout the whole process. Finally today December 10 2020 almost three months to the day that I sent it in for repairs I have received a package but the computer they sent back to me belongs to someone else. I just called support and explained the situation and the person hung up. Worst experience of my life with a computer company and their support team",neg
6,11/17/20 4:01PM,"Hi
Got asus zephyrus s the laptop has problem gone in for repair 4 time now that i keep emailing them they offered a replacemnt unit and when i agreed on a model and the they confirm to proceed with the offer of replacement the next day they say the laptop is not available. It has been 4 month back and forth worst company to buy a laptop from never get anything from this company.",neg
7,10/11/20 8:38PM,"I bought an ASUS, the company shipped it to my address via fedex, without a signature, they left it in the lobby and was stolen,
I never got the laptop, been 2 weeks im calling and checking with ASUS for a refund, and they are trying to shy away from an answer. I mean who send a laptop without a signature? it is not a pizza. ASUS is one of the most unprofessional companies i worked with, it was my first time i order an ASUS laptop and my last",neg
8,10/8/20 2:47AM,"bad customer service from people don't have full access to our profil,,,cheap labor from far country to save money. My repair product it's return to the wrong address...have to call them back again to fix the tracking address number because they don't know how to read a address of they customer. OMG. they ship my package as far than 20 hours by car ahahahah so stupid...I got my product all registered on my account, sent paper wit all the info and they find a way to ship to wrong place. I do Miss HP customer service 1 million time better they this expensive product for so poor customer service!",neg
9,8/10/20 10:55AM,I purchased a ASUS Prime X-570 Pro mother board in April 2020. It failed in July 2020. When I was trouble shooting the problems a retainer clip for the PCI slot broke loose. This issue was not related tot he mother board's malfunction and would not have happened if the mother board had not malfunctioned BUT ASUS used it as an excuse to not honor the warranty of their product. In fact the entire process was flawed with failures to respond to requests for a RMA to a process designed to look for reason not to honor warranty.,neg
