Review, Rating, Date,Subjectivity,Polarity
The integration is extremely easy to use and helpful with tracking deals as they move forward.,4,Jan 11 2022,0.8333333333333334,0.43333333333333335
Yes makes it more difficult HubSpot help mostly consists if there is not much time left on call,1,Jan 11 2022,0.44000000000000006,0.08
It works very well and integrates well with my gmail calendar. It saves me having to pay an extra fee for this feature and helps my business grow.,5,Jan 10 2022,0.2,0.1
I use Missive to send email but they show as sent in gmail but they arent being pulled into the deals in HS,2,Jan 10 2022,0.0,0.0
did not want every email to be in HubSpot but wanted tracking and had to uncheck each time I sent an email,1,Jan 7 2022,0.0,0.0
Funciona muy bien. Estable y muy confiable. Utilizamos la suite para toda la empresa con excelentes resultados,5,Jan 7 2022,0.0,0.0
Works well means I can contact people straight from HubSpot. a good feature.,3,Jan 5 2022,0.5,0.44999999999999996
Gmail funciona muy bien su integración con HubSpot me genera demasiadas notificaciones y contactos que no necesito.,3,Jan 4 2022,0.0,0.0
Todo muy bien funciona excelente te permite usar todas las funciones sin problema sin ningún tipo de irregularidad.,5,Jan 4 2022,0.0,0.0
terrific slight bug with respect to saving contacts and contact recognition from calendly (instead of default calendly) but overall solid.,5,Jan 4 2022,0.3166666666666667,-0.041666666666666664
gmail is good but not as seamless as Office suite...integrations require all or nothing versus easily selectible copies going to HubSpot...main difficulty is in handling attachments...a bit clunky.,3,Jan 4 2022,0.5111111111111112,0.41111111111111115
Está funcionando perfeitamente bem. Uma ótima ferramenta que tem inúmeras formas de conexão com outros aplicativos e facilita demais a vida.,5,Jan 3 2022,0.0,0.0
hasta el momento muy bien se puede enlazar lo del CRM al gmail con lo cual no se escapa ninguna cadena de correos,4,Jan 3 2022,0.0,0.0
Gmail is definitely working great for me. I would love to continue using Gmail for my day to day communication.,5,Jan 3 2022,0.6166666666666667,0.43333333333333335
Have used other CRMs with better Gmail integration. The main thing missing here is a Deal status for each email in my Gmail Inbox without having to click through.,3,Jan 3 2022,0.3145833333333333,0.08541666666666665
ez to use so far smooth reactive and ez to find and i like the edit features to add to notes,5,Dec 31 2021,0.75,0.25
